No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
164,A_project manager has just completed the development of the project management plan and wants to determine who is responsible for approving it. What is the best course of action for the project manager?,,Check the organizational process assets,Research the relevant enterprise environmental factors,Ask the project sponsor what to do,The project management plan does not require a formal approval,A,"The Project Management Professional (PMP)® Examination Content Outline contains a list of tasks for each domain, with which PMP aspirants are expected to be familiar. Task #11 of the planning domain states, ""Present the project management plan to the relevant stakeholders according to applicable policies and procedures in order to obtain approval to proceed with project execution."" Typically, policies and procedures can be found in the organizational process assets. Therefore, among the choices given, checking the organizational process assets for policies and procedures would be the best course of action for the project manager to take to determine who is responsible for approving the project management plan."
165,You are developing a charter for a fiberoptic installation project that involves laying cable across a major interstate highway. You recall your company experienced problems related to traffic disruptions on a similar project about three years ago. Which of the following should you perform first to guide the implementation strategy?,,Determine risk response plans to deal with potential traffic disruptions,Develop proper communication methods with those who use the highway,Allocate contingency reserves to account for traffic disruptions,Analyze the situation to determine enterprise environmental factors (EEFs),D,"The scenario states that you, as the project manager, are developing the project charter, which occurs as part of the Initiating Process Group. High-level EEFs are identified and analyzed early in the project to determine if the physical environment (which is part of the EEF) will present traffic disruptions that would shape the implementation strategy. All the other answer choices are done as part of processes in the Planning Process Group and therefore could be eliminated from consideration."
166,"A_project manager has just taken over a project to develop a product using a hybrid life cycle. With this project, the hardware has fixed requirements while the software requirements are still evolving. How should the project manager apply the hybrid life cycle for this project?",,Both the hardware and software should have their scope defined during initial project planning,Develop the hardware with a predictive life cycle and use an adaptive life cycle for the software,Both the hardware and software should have their scope defined iteratively,Develop the software with a predictive life cycle and use an adaptive life cycle for the hardware,B,"The question describes a project which is utilizing a hybrid development life cycle. A hybrid development life cycle is a combination of predictive and adaptive life cycles. In a predictive life cycle, the project scope, time, and cost are determined in the early phases of the life cycle. With an adaptive life cycle, the detailed scope is defined and approved before the start of an iteration. With a hybrid life cycle, those elements of the project that are well-known or have fixed requirements follow a predictive development life cycle, and those elements that are still evolving follow an adaptive development life cycle. In this scenario, the hardware has fixed requirements while the software requirements are still evolving. Therefore, the project manager should develop the hardware with a predictive life cycle and use an adaptive life cycle for the development of the software."
167,"You are a project manager leading an online conference call with stakeholders regarding project status. In the call, a few stakeholders indicate they are not sufficiently updated on project status and request a bi-weekly email be sent to them with cost and schedule status reports. You realize this request is a change in the communication requirements, which would also change the form of communication outlined in the communications management plan. Where should you initially capture this request?",,Requirements documentation,Issue log,Communications management plan,Stakeholder engagement plan,B,"The scenario suggests you are in the Monitor Communications process which is concerned with ensuring the information needs of the project stakeholders are met. This process often results in the need for adjustment, action, and intervention on communications activities defined in the communications management plan. This need is typically expressed by a change request as in the scenario described. Ideally, a change request would be submitted and recorded in the change log. However, this answer choice is not provided. Therefore, we have to select an option of those offered which represents the best answer to the question asked. The question implies there is an issue in project communications. A change in the form of communication outlined in the communications management plan can be considered an issue and, therefore, should first be recorded in the issue log. Updates to project documents, such as an issue log, are among the outputs of the Monitor Communications process. Therefore, of the available choices, capturing the stakeholders' request in the issue log is the best answer to the question asked."
168,"After gaining a clear understanding of the problem, a senior manager suggests to a newly promoted project manager that she should emphasize areas of agreement rather than areas of difference when handling the current conflict issues within the team. Which conflict resolution technique is the mentor recommending?",,Smoothing,Compromising,Forcing,Collaborating,A,The smooth/accommodate conflict resolution technique emphasizes areas of agreement rather than areas of difference; conceding one's position to the needs of others to maintain harmony and relationships. The mentor's response is the definition of the smooth/accommodate conflict resolution technique.
169,The project team is reviewing the project charter and project management plan to develop a detailed description of the project and the product. What is another document the team should review to complete their work?,,Work breakdown structure,Risk register,Quality control measurements,Change log,B,"The question describes the project team reviewing the inputs to the Define Scope process to develop the scope statement. The inputs to the Define Scope process are the project charter, the project management plan, enterprise environmental factors, organizational process assets, and project documents. The risk register is a project document that may influence the scope statement by describing specific risk response strategies that affect the project scope, such as reducing or changing project and product scope to avoid or mitigate risk. Therefore, of all the options presented, the risk register is the document that the team will need to review to develop the scope statement. One may argue that risk management planning processes are typically carried out after the scope planning processes have been completed. However, this sequence is not rigid. A basic risk register can already exist with some high-level risks identified during the development of the project charter. Project management is an iterative process; therefore, the risk register will be updated as the project progresses. Once the Identify Risks process is completed and new risks are documented in the risk register, the risk register can be used again to refine the scope management planning artifacts that have been created earlier. Risk identification does not stop during risk planning either. The risk register can be updated as an output of many of the project management processes. Thus, the risk register evolves during project planning and then throughout the course of the project. If the newly identified risks require an update to the scope baseline that has been established and approved, a change request will need to be submitted thus affecting the scope again."
170,"You have just been hired by a decades-old construction company to lead a custom home construction project. The project has been plagued by thefts occurring at night. You have read the project management plan and all project documents, none of which addresses the theft issue. What should you do next?",,Set up motion-sensing cameras throughout the subdivision,Hire a nighttime security guard,Review the organizational process assets,Check the lessons learned register,C,"The question states that the performing organization has been in business for decades. It is very likely that the theft issue has been encountered in previous projects. Before taking any action to address the theft issue, it is best to take advantage of the knowledge gained over the decades the company has been in business to determine the best course of action. The organizational process assets include the lessons learned repository. The lessons learned repository is an archive of knowledge gained from past projects, which can be used to improve performance on your current project. Of the available options, reviewing the organizational process assets is the best way to determine the best course of action to address the theft issue."
171,"You are in the process of monitoring the overall progress of project work. Throughout your project, you have experienced recurring issues, and you want your current and future projects to run more smoothly. Which of the following is least likely to proactively promote continuous improvement?",,Holding lessons learned meetings at regular intervals,Conducting retrospectives throughout the project,Periodically updating the organizational knowledge base,Timely implementing planned responses for the realized risks,D,"The question is asking for the response that is 'least' likely to promote continuous improvement. All of the answer choices represent proactive measures that can be taken to promote continuous improvement except for timely implementing planned responses for the realized risks. Implementing risk responses would address the risks as they occur, but would not contribute to proactive continuous improvement, because by definition, responding to risks is a reactive measure."
172,"You are leading a software development project for an important client. For this project, you have elected to use a change-driven life cycle. Currently, you are about to lead an iteration planning meeting with the product owner and the development team. What should you first accomplish at the start of the iteration?",,"With the project scope determined during initial project planning, the scope must be controlled to",Disregard the fixed requirements and focus on those elements that are still evolving to determine the,Define and approve the detailed scope of the iteration,Review and record lessons learned to correct processes and improve the performance of the,C,"The question describes a project with a change-driven life cycle. Adaptive life cycles are also referred to as change-driven life cycles. Adaptive life cycles are agile, iterative, or incremental. With an adaptive approach (in this case agile), the detailed scope is defined and approved during an iteration planning meeting, at the start of the iteration. The incorrect answer choices describe either different development life cycles or a different type of agile meeting. Therefore, of the available options, defining and approving the detailed scope of the iteration is what needs to be first accomplished at the start of the iteration."
173,"Early in project planning, your team identified increases in the cost of raw materials as a project risk. Due to a recent natural disaster, raw material costs are expected to quadruple. You had originally set aside a contingency reserve to account for some cost variance. However, after analyzing current prices, you are uncertain if that contingency reserve will be sufficient. What technique should you use to evaluate this uncertainty?",,Plan risk management,Risk reassessment,Reserve analysis,Risk audit,C,"Reserve analysis is a technique used in the Monitor Risks process. Reserve analysis involves comparing the amount of the contingency reserves remaining to the amount of risk remaining at any time in the project in order to determine if the remaining reserve is adequate. In this scenario, you are looking to reassess whether your contingency reserve is sufficient to cover a possible spike in the cost of raw materials, making reserve analysis the correct answer choice."
174,"You are leading a project to design a car with new self-driving technology. During project planning, existing government regulations regarding the new technology were virtually non-existent. You identified this ambiguity risk during project planning and developed a risk response. Now, with the car ready for production, new regulations have been enacted. The new regulations are so complicated that you have trouble understanding them and their implications for the project. What should you do next?",,Seek the opinion of a recognized expert to validate or modify the risk response,Terminate the project since the new technology does not meet the new regulations,Submit a change request to alter the scope baseline to accommodate the new regulations,Proceed with the project and implemented the risk response as originally planned,A,"The question suggests that you, as the project manager, are performing the Implement Risk Responses process to address the ambiguity risk presented by the new regulations. Expertise should be considered from individuals or groups with specialized knowledge to validate or modify risk responses if necessary and decide how to implement them in the most efficient and effective manner. Expert judgment will be vital in understanding the new regulations before the risk response plan can be modified to ensure compliance with the new regulatory environment. According to the scenario described, the new regulations are so complicated that you have trouble understanding them and their implications for the project. Therefore, among the available choices, the next step for you before taking action is to seek the opinion of a recognized expert to understand the new regulations in order to implement the risk response to ensure compliance."
175,"You are managing a construction project with several contractors involved and want to finalize dates for painters to come on site. You do not recall the planned finish date for the drywall installation, which will need to be completed before painting work can begin. Where do you find the dates when the drywall contractor is planned to start and complete their activities?",,Terms of reference,Resource breakdown structure,Project schedule,Requirements traceability matrix,C,"The project schedule is one of the inputs to the Conduct Procurements process. The project schedule identifies the start and end dates of project activities, including procurement activities. It also defines when contractor deliverables are due. Of the available choices, only the project schedule provides both the planned start and finish dates of project activities, for example, drywall installation and walls painting."
176,"A_vendor went out of business before delivering a component for your project. As a result, the previously planned risk response was implemented by contracting with a different vendor. However, the new vendor will not be able to deliver the component in time to meet the deadline even with the use of the contingency reserves. What should you do next?",,Terminate the project,Submit a change request,File a claim against the original vendor,Perform the Conduct Procurements process,B,"Implementation of risk responses may result in a change request to the cost and schedule baselines or other components of the project management plan. In the scenario described, as a result of implementing the risk response plan, the original timeline is no longer valid, and the schedule baseline needs to be updated. If the contingency reserve was sufficient to accommodate the delay caused by changing vendors, you could just update the schedule to utilize the contingency reserve without a need to update the schedule baseline. However, the question states that the contingency reserves are inadequate to meet the schedule objective. Since there are insufficient scheduling reserves, a new schedule baseline must be established. An update to any baseline after it has been established during project planning requires an approved change request. Therefore, of the available options, submitting a change request is what you should do next."
177,"The resource management plan calls for six developers to serve on the project team who are all internal employees. In the process of putting together the project team, the project manager discovers that only three developers with the necessary skillset are available for the project due to attrition and higher priority projects. What should the project manager do next?",,Hire outside contractors to supplement the project team,Submit a change request to update the necessary project plans and/or documents,Cancel the project since the required resources are not available,Run the project with the three available developers and use overtime to stay on schedule,B,"The question describes a situation where the resources required to perform the project work are not available. The appropriate next step for the project manager is to analyze alternative solutions against project constraints to determine the best course of action. Regardless of the solution chosen to address the issue, the project management plan will need to be updated which will require an approved change request. Specifically, the resource management plan will need to be updated to reflect actual experience in acquiring resources for the project, which may include the use of external resources. Additionally, although it is not known from the description in the question, it is possible that other project constraints may be affected by the lack of internal resources necessitating the update of the cost and schedule baselines, which will also require a change request. Therefore, of the available choices, the next step for the project manager in this scenario is to submit a change request."
178,"On a project you are managing, you have been unable to obtain landlord approvals to install cable at various retail locations. You just learned about a project undertaken by your organization in the past that faced similar issues. If you had been aware of them during project planning, you could have taken proactive steps to avoid or mitigate the problems on your project. What might have been done differently to incorporate the knowledge gained from the previous project into your project?",,Development of more comprehensive risk response plans,Better communication between project managers within the company,Improved utilization of the organizational knowledge base,Utilization of a lessons learned register for your project,C,"The question indicates that lessons learned from a previous project would have been beneficial for your current project. It is apparent that the knowledge gained from the previous project was not documented and therefore was not disseminated to you until later in the project when, by happenstance, the topic came up to your attention. The question implies that the previous project manager did not capture the information in the lessons learned register. Therefore, the lessons learned repository did not have this information either. In other words, the organizational knowledge base was not utilized by the other project manager. Of the available options, improved utilization of the organizational knowledge base would have provided the best option to have avoided or mitigated the problems described by the question."
179,"You have subcontracted some of the more technically challenging work on your project to a vendor. The vendor delivered as per the contractual obligations specified in the requirements documentation, but you are not satisfied with the deliverables because they are not exactly what you expected. What should you do next?",,Accept the deliverables from the vendor,Proceed with claims administration,Withhold payment until the issue is resolved,Terminate the contract for cause,A,"The question states that the work has been completed as per the contractual obligations specified in the requirements documentation. Therefore, the vendor has met the acceptance criteria as described in the terms and conditions of the contract. Although you, as the project manager, are not satisfied with the deliverables because they are not what you expected, the vendor has fulfilled their contractual obligations. Realistically, you would likely negotiate a new or amended contract with the vendor to align the deliverables with your requirements/expectations better. However, the negotiation was not listed as an answer choice. Therefore, of the available options, accepting the deliverables is the best answer to the question asked."
180,"On a project you are managing, the development of the application for a client is complete. You need to transfer the final product to your client. Which of the following would be the most appropriate technique to transfer ownership of the application to your client?",,Brainstorming session,Meeting,Focus group,Interview,B,"Three of the answer choices are data-gathering techniques, which can be eliminated because they would not be appropriate ways to 'give' or transfer ownership of deliverables. A meeting is the only technique listed that would allow for a 'give-and-take' understanding that you have relinquished ownership, and the client has accepted ownership of the final delivery of the product (the application). The PMBOK® Guide does not explicitly state that meetings are used to transfer the ownership of deliverables to clients. However, it does indicate that meetings can be used to confirm that the deliverables have been accepted, to validate that the exit criteria have been met, to formalize the completion of the contracts, etc. Additionally, since transferring the ownership of deliverables to clients is one of the goals of the Close Project or Phase process, and meetings are among the tools and techniques of that process, of the choices provided, meetings are the best answer to the question asked."
181,"You have just taken over a project, which is in the process of project closure. The project has experienced numerous setbacks, which have caused cost and schedule overruns. You want to ensure that any mistakes that were made in the project are not repeated to ensure improved performance for future projects. What is the best course of action in this situation?",,Perform stakeholder analysis,Conduct reserve analysis,Perform document analysis,Conduct technical performance analysis,C,"The question implies that the Close Project or Phase process is being carried out. Document analysis is used during various project management processes including the Close Project or Phase process. As it pertains to project closure, analyzing available documentation will allow the identification of lessons learned and knowledge sharing to improve the performance of future projects. The incorrect answer choices represent analysis techniques that are used during processes other than the Close Project or Phase process. Therefore, of the available answer choices, performing a document analysis is the best answer to the question asked."
182,"During a routine analysis of the project's reserves, the project manager realizes that some project costs have been saved due to the project taking advantage of an unexpected opportunity to outsource several activities. What should the project manager do with these saved costs?",,Record them as actual costs (AC),Add them to the contingency reserves,Reduce them from the budget at completion,Credit them to the procurement department,B,"The scenario describes reserve analysis, which is an example of a data analysis technique that can be used as part of the Control Costs process implied by the scenario. Contingency and management reserves are the funds set aside that are allocated to respond to known and unknown risks throughout the project. This scenario, however, does not deal with the contingency or management reserves. Rather, it describes a situation where the project seized a previously unexpected opportunity to outsource some work instead of performing it internally. As a result, the project earned a cost saving. Those cost savings may be added to the project's contingency reserves for use in the project, or taken from the project as profit/margin. While adding the cost savings to the contingency reserves is not a complete answer since it does not cover the option of taking those cost savings as profit/margin, of the choices provided, adding the cost savings to the contingency reserves is the best answer to the question asked."
183,"A_project is nearing completion, and the project manager is gathering various documents to aid in the process of finalizing the project. During the execution of the project, both the cost and schedule baselines were updated as a result of delays caused by a force majeure. As part of the closing process, the project manager needs to determine if the project met the expectations that initially justified the project. What should the project manager do to obtain this information?",,Review the business case,Check the risk register,Review the risk report,Check the milestone list,A,The question indicates that the Close Project or Phase process is being carried out. The business case is used to determine if the expected outcomes from the economic feasibility study used to justify the project occurred. The business case is the document that the project manager should review in this case.
184,"As part of quality assurance, a project manager wants to ensure that a list of requirements has been satisfied. What is the best approach for the project manager?",,Use quality improvement tools,Conduct process analysis,Perform a root cause analysis,Use a checklist,D,"The Manage Quality process is sometimes called quality assurance. A data-gathering technique that can be used for the Manage Quality process is checklists. A checklist is a structured tool, usually component- specific, used to verify that a set of required steps has been performed or to check if a list of requirements has been satisfied. According to the scenario, the project manager wants to ensure that a list of requirements has been satisfied. Therefore, of the choices provided, using a checklist is the best answer to the question asked."
185,"You meet with your team and key stakeholders to decide on what approach, waterfall or agile, should be used for your project. You explain to the meeting participants that continuous improvement is of utmost priority for the project. Someone asks you how waterfall methodologies compare with agile as it relates to continuous improvement. How should you respond to this question?",,"Waterfall takes a more proactive approach to continuous improvement, comparing to agile which is",Agile projects conduct retrospectives during project execution but not at the end of the project as in,Agile teams tend to be more focused on continuous improvement and will review performance more,Continuous improvement is handled essentially the same in agile and waterfall project management,C,"There is a fundamental difference between how lessons learned are managed on projects that use a waterfall-based methodology compared to those projects that have chosen an agile approach. At a high level, agile teams tend to be a lot more focused on continuous improvement and will review performance more regularly. Agile projects conduct retrospectives at the end of each iteration (typically two weeks to one month), which provides a more structured and proactive approach to continuous improvement. A retrospective is an example of a meeting, tool or technique used during the Control Quality process to drive continuous improvement. Additionally, agile team retrospectives can focus on the team’s working practices – how they work together, celebrating a job well done, bettering the relationships in the team, and often a more traditional approach focuses on the project tasks and deliverables and not how the team performed together."
186,"After the project charter has been completed and approved, the project manager immediately begins the process of developing the project management plan. What might the project manager have forgotten to create?",,Risk log,Assumption log,Issue log,Change log,B,"The question implies that the Develop Project Charter process is being performed. The Develop Project Charter process has two outputs including the project charter and the assumption log. The assumption log is a project document used to record all assumptions and constraints throughout the project life cycle. Before proceeding to the next process, the project manager has to ensure the previous process is completed which, among the others, means all its outputs have been generated. In the scenario described, the project charter has been developed, and the assumption log has been forgotten."
187,"You are leading a project to design a new and innovative system based on newly developed technology. In past projects, using a traditional waterfall project management approach, you have encountered issues with scope creep. However, given the nature of the current project, you have decided to use an agile approach. As it relates to project scope, how will this project differ from your past projects?",,The project scope will evolve during the project,"During initial project planning, a more detailed work breakdown structure will be created",Scope creep will be avoided with a strict change management system,The project scope will be better understood at the beginning of the project,A,"When a traditional waterfall project management approach is utilized, the project scope is well-defined during initial project planning, and a detailed work breakdown structure (WBS) is developed. A traditional project management approach is effective when the requirements are well understood at the start of the project. However, this situation is not always the case with all projects. In projects with evolving requirements, high risk, or significant uncertainty, the scope is often not understood at the beginning of the project. Agile methods deliberately spend less time trying to define and agree on the scope in the early stage of the project and spend more time establishing the process for its ongoing discovery and refinement. As a result, the project scope evolves throughout the project as the scope is defined and redefined. Therefore, with agile, the project scope will evolve during the project as compared to a traditional project management approach where the project scope is defined upfront."
188,"A_project manager is performing quality assurance for a project whose quality standards are very stringent. In order to meet and exceed the quality requirements, the project manager uses a set of technical guidelines, which were applied during the design phase of the project to optimize quality. What tool or technique is the project manager using in this scenario?",,Design for X (DfX) where the X in DfX represents the quality aspect of the product,Design of experiments (DOE) as a quality improvement methodology,The Manage Quality process to ensure compliance with project quality requirements,Process analysis to identify opportunities for process improvements,A,"The question implies that the Manage Quality process, sometimes referred to as quality assurance, is underway. Design for X (DfX) is one of the tools and techniques which may be used during the Manage Quality process. DfX is a set of technical guidelines that may be applied during the design of a product for the optimization of a specific aspect of the design. DfX can control or even improve the product's final characteristics. The X in DfX can be different aspects of product development which can include but are not limited to quality improvement."
189,Your project has been plagued with numerous change requests. What is the most likely reason?,,Incomplete stakeholder register,Lack of a detailed procedure to close the project,Failure to implement risk responses,Change management plan did not authorize a change control board,A,"Academic research and analyses of high-profile project disasters highlight the importance of a structured approach to the identification, prioritization, and engagement of all stakeholders. The ability of the project manager and team to correctly identify and engage all stakeholders in an appropriate way can mean the difference between project success and failure. The stakeholder register is a project document where information about identified stakeholders is recorded. This document includes the stakeholders' main requirements and expectations for the project. Failure to appropriately identify key stakeholders early enough in the project could result in an incomplete stakeholder register and a project with numerous change requests submitted by stakeholders as they are identified."
190,"You have just taken over a project in execution from another manager. In your first week, you are unpleasantly surprised to receive emails from several stakeholders asking questions about the project objectives as well as their roles and responsibilities on the project. You are also concerned about what appears to be a lack of commitment to the project by the team. What did the initial project manager most likely miss?",,Conducting the project kick-off meeting,Creating a RACI chart,Identifying the key project stakeholders,Developing the team charter,A,"The question describes a scenario where at least some of the stakeholders are aware of the existence of the project but have fundamental questions about project objectives as well as their roles and responsibilities. The purpose of the project kick-off meeting is to communicate the objectives of the project, gain the commitment of the stakeholders and the team for the project, and explain the roles and responsibilities of each stakeholder. Therefore, of the choices provided, the previous project manager most likely did not conduct a project kick-off meeting."
191,A_project team member has been tasked to develop the change management plan. The team member is looking for the approved template of the change management plan. What is the best course of action for the team member?,,Check the organizational process assets,Use a change management plan from the previous project,Research the lessons learned repository,Find a suitable template from an Internet search,A,"The question implies that the Develop Project Management Plan process is being performed. The change management plan is a component of the project management plan. Organizational process assets serve as an input into the Develop Project Management Plan process and may include templates, which can be used to develop the project management plan. The organizational process assets are readily available to the project team and should be the first place to check for an approved template of the change management plan."
192,"A_project manager has learned that new legislation has just been passed, which makes the regulatory standards even more stringent. The project manager needs to gain a better understanding of the new law and how it will affect the project which is already in execution. What tool or technique should the project manager use in this situation?",,Decomposition,Decision-making techniques,Expert judgment,Risk register,C,"The question states that the project manager is leading the execution of a project, which suggests that the Direct and Manage Project Work process is underway. Expert judgment is one of the tools and techniques associated with this process. Expert judgment is judgment provided based upon expertise in an application area, knowledge area, discipline, industry, etc., as appropriate for the activity being performed. Such expertise may be provided by any group or person with specialized education, knowledge, skill, experience, or training. Expertise in legislation and regulations will provide insights into how the new law may impact the project. Additionally, among the available choices, only expert judgment is a tool or technique that is used during the Direct and Management Project Work process."
193,You are a senior project manager who is mentoring a newly promoted project manager. Your mentee states that she has recurring arguments with her project team and is having difficulty controlling her own temper. This situation has created a toxic environment for the project team and threatens the successful completion of the project. What is the best advice for your mentee?,,Improve leadership skills,Develop emotional intelligence,Study conflict management,Introduce recognition and rewards,B,"Emotional intelligence is the ability to identify, assess, and manage the personal emotions of oneself and other people, as well as the collective emotions of groups of people. The first step in developing emotional intelligence is self-awareness, which can then lead to self-management. Only when the project manager learns to exercise self-control as part of self-management will she be able to deal with the emotions and behaviors of others effectively. Since the scenario describes a project manager who has difficulty controlling her own temper, the best advice you can give her is to develop her emotional intelligence skills."
194,Which of the following best describes the Manage Quality process?,,Identifying quality requirements and standards for the project and its deliverables,Leading and performing the work defined in the project management plan,Monitoring and recording results of executing the quality management activities,Translating the quality management plan into executable quality activities,D,"This question is an example of a few one-line knowledge-based questions that you may encounter on your exam. However, no memorization is required to answer this question correctly. The Project Quality Management Knowledge Area includes three processes: Plan Quality Management, Manage Quality, and Control Quality. In the first process, the project management plan is developed, in the second process, the plan is translated into executable activities, and in the last process, those activities are monitored for effectiveness. The answer choice that reads, ""Translating the quality management plan into executable quality activities"" best addresses the question asked. Manage Quality is the process of translating the quality management plan into executable quality activities that incorporate the organization's quality policies into the project."
195,"For your project, you are unsure if a part can be manufactured using the new material according to the ultra-precise thickness required. What would be the best tool to determine if the production line is consistently producing parts with the required quality standards?",,Ishikawa diagrams,Control charts,Flowcharts,Statistical sampling,B,"Control charts are used to help determine if the results of a process are within acceptable limits. In this scenario, the thickness of the newly designed part must be within a predetermined range to be acceptable. The production line may or may not be able to continually produce the part with an acceptable thickness. During the Control Quality process, measurements of the thickness can be taken and plotted on a chart. The resulting control chart shows whether the results are consistently within the acceptable limits and whether the production line is producing products of acceptable quality."
196,"A_project manager is leading a research and development project and is currently performing the Close Project or Phase process. As part of this process, the project manager is preparing the final project report. Which of the following is least likely to be included in the final report?",,Summary level description of the project,Summary of the lessons learned during the project for use on future projects,Summary of risks or issues encountered on the project,Summary of how the final product achieved the business needs identified in the business plan,B,"The final report provides a summary of the project performance. Lessons learned during the project are captured in the lessons learned register. Then, during the Close Project or Phase process, this information is transferred to an organizational process asset called the lessons learned repository. The lessons learned and knowledge gained during a project is not typically captured in the project's final report. The question is asking which of the available options is 'least' likely to be included in the final project report. Hence, of the available choices, a summary of the lessons learned from the project is least likely to be included in the final report and is, therefore, the best answer to the question asked."
197,"For a construction project, a project manager wants to ensure that critical earth moving equipment such as excavators, loaders, backhoes, and bulldozers are available as planned. The project manager needs to review a project document, which describes the expected utilization of that equipment along with details such as type, amount, and location. What project document does the project manager need?",,Issue log,Project schedule,Resource assignment register,Physical resource assignments,D,"The question implies that the project manager is conducting the Control Resources process. One of the project documents that serves as an input to the Control Resources process is the physical resource assignments. The physical resource assignments describe the expected resource utilization along with details such as type, amount, location, and whether the resource is internal to the organization or outsourced."
198,"Following are the activities and durations on a project schedule. The project is in planning. If activities C, D and F are on the critical path, what is the total float for activity D?",images\test_2\q_198.png,4 days,7 days,0 Days,Cannot be determined,C,"Total float on any critical path activity is always zero during planning. Total float refers to the amount of time an activity can be delayed or extended from its early start without delaying the project finish date or violating a schedule constraint. Since activity D is on the critical path, it cannot be delayed or extended from its early start without delaying the project finish date or violating a schedule constraint. Therefore, its total float is zero."
199,"To hire independent contractors for the project team, the project manager follows the resource management plan and advertises the opportunity on social media. The response is overwhelming. After narrowing down the list of applicants to those qualified for the project work, the project manager has a much larger than anticipated candidate pool. What should the project manager do next?",,Apply the source selection criteria to the candidate pool,Submit a change request to update the resource management plan,Update the lessons learned repository,Use multicriteria decision analysis to select the team members,D,"The question involves two processes: Acquire Resources (independent contractors are hired for the project team) and Conduct Procurements (external resources, which could be both physical and human, are procured). Advertising, that was used by the project manager to attract potential contractors, is a tool or technique of the Conduct Procurement process. Decision making is one of the tools and techniques that may be used as part of the Acquire Resources process. The context of the question (procuring resources for the project team) suggests that of the two processes, Acquire Resources and Conduct Procurements, the former is likely the process one should focus on. Decision-making techniques that can be used in the Acquire Resources process include multicriteria decision analysis. With multicriteria decision analysis, criteria are developed and used to rate or score potential resources (applicants for contract work in this case). The criteria are weighted according to their relative importance and values, and can then be applied to the candidate pool to determine the best applicants to serve on the project team. Of the choices provided, using the multicriteria decision analysis tool will be most helpful for the project manager in selecting the project team members from a large list of qualified applicants and is, therefore, what the project manager should do next."
