No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
199,"Which tool or technique used during the Perform Qualitative Risk Analysis process considers characteristics beyond priority and impact such as urgency, dormancy, controllability, and propinquity? Top of Form",,Risk data quality assessment,Hierarchical charts,Risk probability and impact assessment,Assessment of other risk parameters,D,"The Perform Qualitative Risk Analysis process focuses primarily on prioritizing risks by assessing their probability of occurrence and their impact. However, it can also use other characteristics based on project needs and circumstances. The 'assessment of other risk parameters' technique is used to perform these assessments on such characteristics as urgency, proximity, dormancy, manageability, controllability, detectability, connectivity, strategic impact, and propinquity. Note: Propinquity is a term typically used synonymously with proximity. However, in this context, it refers more to closeness by kinship, e.g., that a particular risk is perceived as highly significant in the mind of a specific stakeholder or group of stakeholders."
200,Which of the following is not an input to the Perform Qualitative Risk Analysis process? Top of Form,,Risk management plan,Stakeholder register,Risk register,Quality management plan,D,Perform Qualitative Risk Analysis is the process of prioritizing individual project risks for further analysis or action by assessing their probability of occurrence and impact as well as other characteristics. This process has the following six inputs: ● Risk register ● Risk management plan ● Assumption log ● Stakeholder register ● Organizational process assets ● Enterprise environmental factors
201,Which of the following is an input to the Define Activities process? Top of Form,,Activity attributes,Scope baseline,Requirements traceability matrix,Activity list,B,"The Define Activities process has the following three inputs. ● Project management plan (e.g., scope baseline) ● Enterprise environmental factors ● Organizational process assets"
202,Which of the following is an output of the Manage Communications process? Top of Form,,Budget forecasts,Project communications,Requirements documentation,Project charter,B,"Manage Communications is the process of ensuring timely and appropriate collection, creation, distribution, storage, retrieval, management, monitoring, and the ultimate disposition of project information. This process has the following four outputs: ● Project communications ● Organizational process assets updates ● Project management plan updates ● Project documents updates"
203,"The Plan Quality Management process has four outputs, including: ● Quality management plan ● Project management plan updates ● Project documents updates Which of the following outputs is missing from the list? Top of Form",,Process improvement plan,Organizational process assets (OPAs) updates,Enterprise environmental factors (EEFs) updates,Quality metrics,D,"The Plan Quality Management process has the following four outputs: ● Quality management plan ● Quality metrics ● Project management plan updates ● Project documents updates Plan Quality Management is the process of identifying quality requirements and/or standards for the project and its deliverables, and documenting how the project will demonstrate compliance with quality requirements and/or standards."
204,Which of the following is a tool and technique of the Monitor Communications process? Top of Form,,Strategies for threats,Performance reviews,Project management information systems,Contingent response strategies,C,The Monitor Communications process has the following five tools and techniques: ● Expert Judgment ● Project management information systems ● Data analysis ● Interpersonal and team skills ● Meetings
205,The Plan Schedule Management process has four inputs: ● Project management plan ● Enterprise environmental factors ● Organizational process assets Which of the following inputs is missing from the list? Top of Form,,Scope management plan,Project charter,Development approach,Project documents,B,The Plan Schedule Management process has four inputs: ● Project charter ● Project management plan ● Enterprise environmental factors ● Organizational process assets
206,"The Define Scope has five tools and techniques, including: ● Expert judgment ● Data analysis ● Decision making ● Interpersonal and team skills Which of the following tools and techniques is missing from the list? Top of Form",,Focus groups,Observations,Negotiation,Product analysis,D,"Define Scope is the process of developing a detailed description of the project and product. It has the following five tools and techniques: ● Expert judgment ● Data analysis (alternatives analysis) ● Decision making (multicriteria decision analysis) ● Interpersonal and team skills (facilitation of expert workshops) ● Product analysis (product breakdown, requirements analysis, systems analysis, systems engineering, value analysis and value engineering)"
207,Which of the following is an input of both the Monitor Stakeholder Engagement process and the Identify Stakeholders process? Top of Form,,Project charter,Stakeholder analysis,Work performance data,Issue log,D,"The issue log is an input to the Identify Stakeholders process, where it provides information on issues that may introduce new stakeholders to the project or change the participation of existing stakeholders. The issue log is also an input to the Monitor Stakeholder engagement process, where it provides all the known issues related to project stakeholders."
208,Which of the following is not a tool or technique for the Manage Team process? Top of Form,,Emotional intelligence,Project management information system (PMIS),Leadership,Multicriteria decision analysis,D,"Manage Team is the process of tracking team member performance, providing feedback, resolving issues, and managing team changes to optimize project performance. The Manage Team process has the following two tools and techniques: ● Interpersonal and team skills (conflict management, decision making, emotional intelligence, influencing and leadership) ● Project management information system (resource management or scheduling software) In the context of team management, decision making is considered an interpersonal and team skill, particularly involving the ability to negotiate and influence the organization and the project management team to stimulate creativity, account for risk, and focus on the project goals to be served. In the context of acquiring resources, multicriteria decision analysis is a decision-making technique using a decision matrix to systematically evaluate several characteristics (such as availability, cost, features, experience, knowledge, skills) shared among the choices and then rank the choices by the resulting mathematical scores."
209,Updates to which of the following are not an output of the Implement Risk Responses process? Top of Form,,Issue log,Work performance information,Project team assignments,Risk report,B,"Implement Risk Responses is the process of implementing agreed-upon risk response plans. The process has two outputs: ● Change requests ● Project documents updates (including the issue log, the lessons learned register, project team assignments, the risk register, and the risk report)"
210,Which of the following is a tool or technique used in the Close Project or Phase process? Top of Form,,Claims administration,Data analysis,Decision-making,Multicriteria decision analysis,B,"The Close Project or Phase process has the following three tools and techniques: ● Expert judgment ● Data analysis ● Meetings Close Project or Phase is the process of finalizing all activities for the project, phase, or contract."
