No,Question,Answer A,Answer B,Answer C,Answer D,Correct Answer,Hint,Explanation,Details for Answer A,Details for Answer B,Details for Answer C,Details for Answer D
170,"In a phone call between the client and the project manager, the client requests that a feature is to be added to the product. The project manager agrees to include the feature for an extra $5,000 and instructs the team to develop the feature. The product is delivered, the client is pleased and accepts the deliverables but refuses to pay the cost of the added feature. How could this situation have been avoided?",The project manager could have selected a more appropriate choice of communication media.,The scope could have been cut to balance the cost of the feature.,The project manager should have requested a lower price for the feature.,Nothing could have been done differently.,A,What form of communication is required to change the terms of a contract?,"The question refers to the Manage Communications process. The choice of media is part of this process and includes decisions such as when to communicate in writing versus orally. The project manager should have followed up with formal written communication in the form of an updated contract to reflect the increased cost associated with the increase in the project's scope, instead of relying on informal oral communication. If the project manager had selected the appropriate choice of media, the i","The project manager could have selected a more appropriate choice of communication media.Correct. For effective communications management, one should consider the choice of media, which includes deciding when to communicate in writing versus orally. The project manager should have followed up the conversation over the phone with formal written communication in --- the form of an updated contract t",The scope could have been cut to balance the cost of the feature.Incorrect. Cutting the scope would violate the terms of the contract and would not have likely prevented the issue.,"The project manager should have requested a lower price for the feature.Incorrect. There is not enough information in the question to determine the cost of the feature and the price to be quoted to the customer. Regardless, the essence of the question is not about the price but the process of submitting changes on a project, which, in this case, has not been properly carried out.",Nothing could have been done differently.Incorrect. The issue could have been avoided by following up with formal written communication in the form of an updated contract including the cost of the added scope.
171,"To better understand the manufacturing process flow, a project manager needs a visual representation of the sequence of steps for the process, which can then be used to identify where quality defects can occur and where to incorporate quality checks. What diagramming technique would be most helpful in this situation?",Flowchart,Ishikawa diagram,Matrix diagram,Influence diagram,A,Which diagramming technique is also known as a process map?,"- **A flowchart is a depiction in a diagram format of the inputs, process actions, and outputs of one** or more processes within a system. When flowcharts are used to represent the steps in a process, they are sometimes called a process flow diagram and can be used for identifying where quality defects can occur or where to incorporate quality checks. Among the available options, only a flowchart provides a visual representation of the sequence of steps in a process as is asked by the question.","FlowchartCorrect. When flowcharts are used to represent the steps in a process, they are sometimes called a process flow diagram and can be used for identifying where quality defects can occur or where to incorporate quality checks.","Ishikawa diagramIncorrect. An Ishikawa diagram, also known as a fishbone diagram, is a decomposition technique that helps trace an undesirable effect back to its root cause. The question describes the diagramming of a process flow rather than root cause analysis. ---","Matrix diagramIncorrect. A matrix diagram seeks to show the strength of relationships between factors, causes, and objectives that exist between the rows and columns that form the matrix. The question describes a diagram for a sequence of steps as opposed to a matrix.","Influence diagramIncorrect. An influence diagram is a graphical representation of situations showing causal influences, time ordering of events, and other relationships among variables and outcomes. An influence diagram does not provide the visualization of a process flow."
172,You are looking for guidance on how to acquire a team for your project. Where is the best place to look for this information?,Project charter,Stakeholder engagement plan,Resource management plan,Procurement management plan,C,Where is the best place to find guidance on acquiring resources for the project?,"The resource management plan is the component of the project management plan that provides guidance on how project resources should be categorized, allocated, managed, and released. This is the best place to find guidance on how to acquire on the project team.",Project charterIncorrect. The project charter documents high-level information on the project including high- level requirements. It does not provide guidance on how to acquire the project team.,Stakeholder engagement planIncorrect. The stakeholder engagement plan identifies the management strategies and actions required to promote the productive involvement of stakeholders in decision making and execution. It does not provide guidance on how to acquire the project team.,Resource management planCorrect. The resource management plan contains information on how to acquire human and physical resources. This is the best place to find guidance on how to acquire the project team.,"Procurement management planIncorrect. The procurement management plan contains information regarding resources that will be acquired from outside the organization. There is not enough information in the question to determine whether the resources are acquired internally or externally. Therefore, consulting the resource management plan is a better answer choice."
173,Project managers spend most of their time doing what?,Communicating with team members and other project stakeholders,Writing manuals for the product developed by the project,Interacting with the project sponsor to secure funds for the project,Doing nothing because the project team does most of the work,A,It is about an interaction with people.,"According to the reference, ""Communication has been identified as one of the single biggest reasons for project success or failure. Effective communication within the project team and between the project manager, team members, and all external stakeholders is essential."" This is --- the reason for why project managers spend most of their time communicating with team members and other project stakeholders.","Communicating with team members and other project stakeholdersCorrect. According to the PMBOK® Guide, project managers spend most of their time communicating with team members and other project stakeholders.","Writing manuals for the product developed by the projectIncorrect. Manuals for the product are typically written by the project team members. While a project manager can be part of the writing effort, the project manager does not spend most of their time writing the manuals, but rather communicating with the project team and stakeholders to effectively manage the project.",Interacting with the project sponsor to secure funds for the projectIncorrect. Funds for the project are secured during the project initiation. The approved project charter is the document that formally authorizes the project and provides the project manager with the authority to apply organizational resources (such as funds) to project activities.,"Doing nothing because the project team does most of the workIncorrect. While one can argue that there are project managers out there who do nothing for their projects, this answer choice does not represent a responsible project manager."
174,A_stakeholder involved in the project wants to increase the scope of the project. The stakeholder knows that the project management plan authorizes a change control board (CCB) to evaluate all change requests but is unsure of the process for submitting a change request and wants to know who is authorized to make the request. How should the project manager respond to the stakeholder?,All change requests must be submitted by the CCB.,Only the project sponsor can submit change requests.,The project manager is responsible for submitting change requests to the CCB.,Any stakeholder involved in the project can submit a change request.,D,Is there a restriction on which interested party can make a request?,"- **A change request should be submitted to change the scope of a project. The change request** becomes an input to the Perform Integrated Change Control process. The CCB is responsible for evaluating the request and rendering a decision. However, any stakeholder involved in the project can submit the change request. ---","All change requests must be submitted by the CCB.Incorrect. The CCB is authorized to review and evaluate change requests, but any stakeholder involved in the project can submit a change request.",Only the project sponsor can submit change requests.Incorrect. The project sponsor or any stakeholder involved in the project can submit a change request.,The project manager is responsible for submitting change requests to the CCB.Incorrect. The project manager or any stakeholder involved in the project can submit a change request.,Any stakeholder involved in the project can submit a change request.Correct. Changes may be requested by any stakeholder involved with the project and may occur at any time throughout the project life cycle.
175,"You have been requested to provide information on your project’s activities and processes to a unit within your company but external to the project. This group of individuals will compare the information to organizational and project policies, processes and procedures and identify good and best practices being used as well as nonconformity, gaps, and shortcomings within project activities and processes. What tool or technique is being conducted by the external team?",Audits,Statistical sampling,Data analysis,Problem solving,A,What quality review process involves teams that are independent of the project?,"Audits which are defined as structured, independent processes assist project management in determining if project activity and processes comply with the policies and procedures prescribed. During the Manage Quality process, the data and results from the Control Quality process are used to determine the overall quality of the project work. The quality status is made available to the project stakeholders. Audits are one of many tools used to manage quality and increase the probability of meeting q","AuditsCorrect. The question references an external team requiring project activity information. Per the guide, audits are usually conducted by teams independent of the project whose purpose is to determine if project activities comply with set project and organizational standards. ---",Statistical samplingIncorrect. Statistical sampling is a tool or technique used in the Control Quality process and is not the process being conducted by the external team in this scenario.,Data analysisIncorrect. The information in the question describes a process to conduct a comparison of activities which is more of an assessment or audit than a type of analysis.,"Problem solvingIncorrect. The question does not indicate that there are issues or challenges that require resolution, which is the primary purpose of problem solving."
176,The project sponsor asks the project manager how they plan to meet customer expectations and ensure the achievement of project objectives. The project manager replies that it would be best to:,Identify key deliverables based on the business requirements,Develop a perfect project management plan,Maintain quality of the deliverables within six sigma standard deviation,Make sure each project risk has a response and an owner,A,Look for the answer choice that represents the customer's interest.,"Business requirements describe the high-level needs of the organization and the reasons of why a project has been undertaken. According to task 2 of Domain I in the Project Management Professional (PMP)® Examination Content Outline, in order to manage customer expectations and direct the achievement of project goals, project managers have to identify key deliverables based on the business requirements.",Identify key deliverables based on the business requirementsCorrect. Aligning the project deliverables with the business requirements provided by the customer will lead to customer expectations being met and the project goals being achieved.,"Develop a perfect project management planIncorrect. It is hard to assume there is such a thing as a 'perfect' project management plan. Perfect or not, a project management plan alone would not help meet customer expectations and direct the achievement of project goals.","Maintain quality of the deliverables within six sigma standard deviationIncorrect. If the key deliverables are not based on the business requirements, no matter how high the quality level is, the project goals would not be achieved.",Make sure each project risk has a response and an owner--- Incorrect. Proper risk management is important to any project but by itself does not ensure that customer expectations are met or that the project achieves the business derived objectives.
177,"A_project manager is performing quality assurance for a complex software development project. The project has experienced a trend of increasing escaped defects. To improve the quality of the product, the project manager and the team have created the diagram below. How is the team attempting to reduce defects and improve quality in this scenario?",Utilizing an affinity diagram to show areas that should be focused on the most,Using a matrix diagram to show relationships between the rows and columns,Developing a scatter diagram to show the relationship between variables,Creating a histogram to show the number of defects per deliverable,A,Which of the answer choices is a data representation tool that organizes information into groups?,"The question states that the project team is performing quality assurance, which indicates that the Manage Quality process is underway. Affinity diagrams are one of the data representation techniques that may be used during the Manage Quality process. The diagram presented by the question is an example of an affinity diagram. Affinity diagrams can organize potential causes of defects into groups showing areas that should be focused on the most. The incorrect answers describe other types of data ",Utilizing an affinity diagram to show areas that should be focused on the mostCorrect. The diagram presented by the question displays potential causes of defects organized into groups showing areas that should be focused on the most. Such diagrams are known as affinity diagrams and can be used as part of the quality assurance process described in the scenario.,"Using a matrix diagram to show relationships between the rows and columnsIncorrect. A matrix diagram seeks to show the strength of relationships among factors, causes, and objectives that exist between the rows and columns that form the matrix. However, the diagram presented by the question provides no information on the strength of relationships, making this an incorrect choice.","Developing a scatter diagram to show the relationship between variablesIncorrect. A scatter diagram is a graph that shows the relationship between two variables. Scatter diagrams can demonstrate a relationship between an element of a process, environment, or activity on one axis and a quality defect on the other axis. The diagram included in the question does not show the relationship between vari","Creating a histogram to show the number of defects per deliverableIncorrect. Histograms show a graphical representation of numerical data. The diagram presented in the question does not contain any numerical data. Therefore, this answer choice can be eliminated."
178,"To define the product that will be produced by the project, the project team is using a product analysis technique that helps with breaking down the high-level requirements into the level of detail needed to design the product. Which of the following is the product analysis technique used by the team?",Work breakdown structure,Product planning,Progressive elaboration,Product breakdown,D,This technique is used in the Define Scope process.,"Product analysis can be used as a tool to define the scope of a project. It involves methods for translating high-level product or service descriptions into meaningful deliverables. Requirements are captured at a high level and decomposed to the level of detail needed to design the final product and define the scope. Examples of product analysis techniques include product breakdown, requirements analysis, systems analysis, systems engineering, value analysis, and value engineering. In the scenar","Work breakdown structureIncorrect. The work breakdown structure is not an example of product analysis. Instead, it is a tool that shows all the scope of the project broken down into manageable deliverables.","Product planningIncorrect. Product planning is where market requirements that define a product's feature set are identified and articulated, but product planning is not specifically about breaking down high- level requirements into lower level details.",Progressive elaborationIncorrect. Progressive elaboration is the process of continuously improving and detailing a project plan as more accurate and specific information becomes available. It describes the iterative nature of project management. Progressive elaboration does not represent an example of a product analysis technique.,Product breakdownCorrect. Product breakdown is an example of the product analysis technique that breaks down the high-level requirements into the level of detail needed to design the product.
179,"A_project manager is 11 months into a project that was planned to be completed in two years. From a schedule perspective, half of the work has already been completed. What is the SPI and project status?",1.09 and the project is behind schedule,1.09 and the project is ahead of schedule,0.92 and the project is behind schedule,0.92 and the project is ahead of schedule,B,The SPI can be calculated as ES / AT.,Earned schedule (ES) is an extension of the theory and practice of earned value management (EVM) which is one of the trends and emerging practices in project cost management. Earned schedule theory replaces the schedule performance index measures used in traditional EVM (where the schedule performance index (SPI) was calculated as earned value (EV) divided by planned value (PV)) with earned schedule (ES) and actual time (AT). The equation for calculating the schedule performance index (SPI) usin,"1.09 and the project is behind scheduleIncorrect. The SPI of 1.09 is correct. However, since the SPI is greater than 1, more work has been completed than was planned. Therefore, the project is ahead of schedule and not behind schedule.","1.09 and the project is ahead of scheduleCorrect. Schedule performance index (SPI) is calculated as the earned schedule (ES) divided by the actual time (AT) or SPI = ES / AT. The ES is stated as half of the total project of 2 years (24 months) or 12 months. The AT is stated as 11 months. Therefore, the SPI calculation is 12 / 11 for an SPI of 1.09. Since the SPI is greater than 1, the project is a",0.92 and the project is behind scheduleIncorrect. Schedule performance index (SPI) is calculated as the earned schedule (ES) divided by the actual time (AT) or SPI = ES / AT. Using the formula incorrectly by transposing ES and AT would have resulted in 0.92.,"0.92 and the project is ahead of scheduleIncorrect. Schedule performance index (SPI) is calculated as the earned schedule (ES) divided by the actual time (AT) or SPI = ES / AT. Using the formula incorrectly by transposing ES and AT would have resulted in 0.92. Additionally, an SPI of less than 1 would indicate that the project is behind schedule rather than ahead of schedule."
180,"You are leading a project for a weak matrix organization, which will use internal resources. As you acquire the team members, you realize that the staff being offered to you lack the necessary skills required to perform the project work. Training these individuals will take too long, and the training costs were not included in the project budget. What is the first thing you should do in this situation?",Issue a change request,Use your authority as the project manager to obtain the required resources,Escalate the issue to the project sponsor,Negotiate with the functional managers,D,What will be necessary to obtain the needed resources in a weak matrix organization?,"This question is a good example of what you will see on your real exam – two answer choices which could be equally correct. Both submitting a change request and negotiating with the functional managers are plausible first steps you, as project manager, could take in this situation. We have selected negotiation just because we could not mark two choices being correct answers. The main lesson to take from this question is to be ready during the real exam to face ambiguous questions with answer cho","Issue a change requestIncorrect. When competency levels of the actual resources acquired during project execution differ from those planned and specified in the resource management plan, a change request should be submitted to reflect actual experience in acquiring resources for the project. Another --- change request may be submitted to update the schedule and cost baselines to allocate time and ","Use your authority as the project manager to obtain the required resourcesIncorrect. In a weak matrix organizational structure, the project manager has very limited authority. The individuals needed for the project team report to a functional manager rather than the project manager. Therefore, you, as the project manager, do not have direct control over the resources needed for the project, making","Escalate the issue to the project sponsorIncorrect. The project sponsor is responsible for the project funding and is supposed to support the project manager when issues cannot be handled within the authority of the project manager. In weak matrix organizations, the authority of the project manager over project resources is low. Therefore, escalating the issue to the project sponsor may seem like ","Negotiate with the functional managersCorrect. In a weak matrix organizational structure, the human resources needed for the project are controlled by their functional managers. If the resources being offered are inadequate to successfully complete the project, the project manager should consider negotiating for the appropriate resources with the functional managers. Whether or not negotiating is "
181,"According to the project management plan, your team will be virtual. To select the project team members, you are using an analytical approach by ranking and evaluating the candidates on various criteria such as experience, knowledge, cost, and even time zones. What tool or technique are you using?",Interpersonal and team skills,Colocation,Multicriteria decision analysis,Pre-assignment,C,"All answer choices represent tools and techniques that can be used during the Acquire Resources process. However, only one uses several criteria to make a decision.","According to the scenario, you are performing the Acquire Resources process. Multicriteria decision analysis is an example of the decision making technique that can be used as part of this process. Selection criteria are often used to select the project team members. Using a multicriteria decision analysis tool, criteria are developed to rate or score potential resources. In the scenario, you are ranking and evaluating the candidates on various criteria such as --- experience, knowledge, cost, a",Interpersonal and team skillsIncorrect. Negotiation is an example of the interpersonal and team skills that can be used as part of the Acquire Resources process described in the scenario. Nothing in the question suggests that you are negotiating.,"ColocationIncorrect. Colocation involves placing many or all of the most active project team members in the same physical location to enhance their ability to perform as a team. The scenario states that according to the project management plan, your team will be virtual.",Multicriteria decision analysisCorrect. Multicriteria decision analysis is an example of the decision-making techniques that are associated with the Acquire Resources process implied by the question.,"Pre-assignmentIncorrect. The question suggests that you are performing the Acquire Resources process. Pre- assignment can be used as part of this process to determine project resources in advance, while according to the scenario, you are in the process of selecting the project team members from the pool of candidates that have not been pre-assigned."
182,"A_pharmaceutical company invested $5,000,000 in a project to develop a new drug to treat hypertension, which was terminated before completion. However, before the project was canceled, testing indicated that a side effect of the drug was the stimulation of hair growth. The pharmaceutical company is now in the initiation stage of a new project to develop the drug as a treatment for hair loss. How should the $5,000,000 spent on the previous project be treated with respect to the benefits analysis of the new project?",Investment costs that must be included as a cost to the new project,Sunk costs that should not influence future decisions,Opportunity costs that should be considered before approving the new project,Included in the payback period for the new project,B,What are costs that have already been incurred and cannot be recovered called?,"When a project is terminated prematurely, there is a chance that some useful business value will already have been generated, such as in the scenario described where a side effect of the drug was the stimulation of hair growth. This situation allows the premature closure to be less of a failure due to sunk costs. However, sunk costs are the costs that have already been incurred and cannot be recovered. The $5,000,000 represents sunk costs which are not relevant to the new project and should not ","Investment costs that must be included as a cost to the new projectIncorrect. The costs of the failed project are sunk costs which are not recoverable. Any revenues from the new project cannot be applied to the previous project, nor any costs from the previous project should be included as a cost to the new project. The new project must be evaluated independently of the previous project.","Sunk costs that should not influence future decisionsCorrect. Sunk costs are the costs that have already been incurred and cannot be recovered. The $5,000,000 represents sunk costs which are not relevant to the new project and should not influence the decision of whether or not to proceed with the project.","Opportunity costs that should be considered before approving the new projectIncorrect. Opportunity cost is the value of the best alternative given up when a choice is made, in which the choices must be mutually exclusive owing to limited resources. The original project was terminated, and there is no information presented by the question to suggest that another project is being considered.",Included in the payback period for the new projectIncorrect. The investment costs associated with the previous project are written off as a loss and remain with the terminated project. The losses are not transferable to the new project and should not be included in any benefits analysis including the payback period.
183,"A_project to build a prototype brake assembly is underway. Two team members disagree on the testing and assembly sequence. One wants to test each part before final assembly, while the other wants to wait to test the final assembly as a whole. With facilitation, they agree to perform some quick tests on the parts before assembly into the prototype. They also agree not to repeat the same tests on the final assembled prototype. What was the conflict management technique used in this scenario?",Smooth/accommodate,Force/direct,Compromise/reconcile,Withdraw/avoid,C,Which approach occasionally results in a lose-lose situation?,"--- The question best describes the compromise/reconcile conflict resolution technique. There was some give and take on both sides to resolve the conflict, with some tests performed before assembly and some tests performed post-assembly. Both parties gave up something and received partial satisfaction relative to their initial position. The compromise/reconcile approach is the best description of the scenario presented by the question.","Smooth/accommodateIncorrect. The smooth/accommodate approach emphasizes areas of agreement rather than areas of difference, conceding one's position to the needs of the others to maintain harmony and relationships. However, the question indicates that both parties only partially conceded their positions.","Force/directIncorrect. The force/direct approach involves pushing one's viewpoint at the expense of others, offering only a win-lose situation. Whereas, the question suggests that each of the parties gained a partial victory. Therefore, this is not the best answer choice.","Compromise/reconcileCorrect. The compromise/reconcile approach is exemplified by searching for solutions that bring some degree of satisfaction to all parties in order to temporarily or partially resolve the conflict. Of the available choices, the compromise/reconcile approach is best described by the question.","Withdraw/avoidIncorrect. The withdraw/avoid approach involves retreating from an actual or potential conflict situation, but the premise of the question indicates that the project manager did intervene to resolve the conflict. Therefore, this answer choice can be eliminated."
184,"As part of project planning, a team member is using the resource breakdown structure and RACI chart. What process would benefit the most from these techniques?",Control Costs,Plan Resource Management,Identify Stakeholders,Manage Project Knowledge,B,"RACI stands for responsible, accountable, consult, and inform. It is a type of assignment matrix.","Both the resource breakdown structure and RACI (responsible, accountable, consult, and inform) chart are used in the Plan Resource Management process as techniques to represent data. The resource breakdown structure is a hierarchical chart showing team and physical resources related by category and resource type. It breaks down required resources into small enough detail as to be used in conjunction with the work breakdown structure (WBS) for further planning. The --- RACI chart is useful for en",Control CostsIncorrect. Control Costs is the process of monitoring the status of the project to update the project costs and managing changes to the cost baseline. This process belongs to the Monitoring and Controlling Process Group. Neither the resource breakdown structure nor the RACI chart is used in the Control Costs process.,Plan Resource ManagementCorrect. Both the resource breakdown structure and the RACI chart are examples of the data representation group of tools and techniques that can be used as part of the Plan Resource Management process.,"Identify StakeholdersIncorrect. Identify Stakeholders is the process of identifying project stakeholders and analyzing and documenting information regarding their interests, involvement, interdependencies, influence, and potential impact on project success. According to the scenario, you are in project planning. Although the Identify Stakeholders process can take place at any point during the proj",Manage Project KnowledgeIncorrect. Manage Project Knowledge is the process of using existing knowledge and creating new knowledge to achieve the project's objectives and contribute to organizational learning. This process is part of the Executing Process Group while the techniques described in the scenario are typically used during project planning.
185,"While checking the resource calendars, you see that the company's 3D printer is reserved for another project manager during the same time that you need the printer to create a prototype for your project. You speak with the other project manager and offer to provide him with a member for you to keep your project on schedule. You both see this solution as a win-win. What tool or technique are you using to gain timely access to the printer?",Control Resources,Prototype,Soft skills,Win-win technique,C,What tool or technique used during the Control Resources process would be helpful in gaining timely access to a resource?,"The question suggests that the project management process of Control Resources is being performed. Interpersonal and team skills, also known as ""soft skills"", is one of the tools and --- techniques associated with the Control Resources process. The interpersonal and team skill of negotiation is what is being used in this case to gain timely access to a critical resource.","Control ResourcesIncorrect. The question does describe the process of Control Resources. However, Control Resources is a process and not a tool or technique.","PrototypeIncorrect. A prototype is what being built by the project, but the prototype is not useful in gaining access to a resource.","Soft skillsCorrect. Interpersonal and team skills, sometimes known as “soft skills”, include negotiation and influencing, and can be used by project managers to control resources on their projects. In this scenario, you used negotiation to gain timely access to the 3D printer which was a critical resource for your project.",Win-win techniqueIncorrect. 'Win-win technique' is a fake term made up for this question.
186,"You have been recruited by a well-respected vice president (VP) in your company to be the project manager of an important company initiative. The VP wrote the business case, worked with you on the project charter, and has attended every meeting to date. You are currently creating the stakeholder engagement assessment matrix. What current engagement level would you assign the VP?",Supportive - because the VP is aware of the project's potential impacts and supportive of the,Leading - because the VP is aware of the project's potential impacts and actively engaged in,Authority - because the VP is an executive overseeing the project.,Neutral - because the VP is a vice president and can be neither supportive nor unsupportive.,B,What engagement level is the stakeholder most involved?,"You can rule out 'neutral' because the VP is too involved with the project to be indifferent. You can also rule out 'authority' because it is not an engagement level specified in the PMBOK® Guide. 'Supportive' would be a good choice, but 'leading' is a better answer because the 'leading' engagement level means the stakeholder is not only aware of the project and its potential impact but is also actively engaged with the project ensuring that the project is a success.","Supportive - because the VP is aware of the project's potential impacts and supportive of thework and its outcomes. Incorrect. Although the VP is technically 'supportive' as he is aware of the project and its potential impacts and supportive of the work and its outcomes, 'leading' would be a better answer choice because he is actively engaged in ensuring the project's success.","Leading - because the VP is aware of the project's potential impacts and actively engaged inproject success. Correct. 'Leading' is defined as being aware of the project and potential impacts and actively engaged in ensuring that the project is a success, which the VP is. Therefore, of the choices provided, 'leading' is the best answer to the question asked.",Authority - because the VP is an executive overseeing the project.Incorrect. 'Authority' is not an engagement level specified in the PMBOK® Guide.,Neutral - because the VP is a vice president and can be neither supportive nor unsupportive.Incorrect. The VP is not indifferent and being vice president does not exclude him from being evaluated in the stakeholder engagement assessment matrix. He has a vested interest in the project making 'neutral' an incorrect answer.
187,"You have been informed that one of the critical path's activities must finish no later than September 1st. As a result of this imposed date, the activity's float became negative, and the project schedule is no longer feasible. Which of the following is the best solution?",Leveling resources,Crashing the schedule,Consulting the issue log,Terminating the project,B,You need to compress the schedule.,"During planning, the critical path is characterized by zero total float. During project execution, if duration and relationship logic violate a constraint on the late date on a schedule network diagram, it results in negative float, which means the schedule is not feasible. The scenario describes an imposed date. An imposed date is a fixed date imposed on a schedule activity or schedule milestone, usually in the form of a “start no earlier than” and “finish no later than” date. Such a schedule c","Leveling resources--- Incorrect. Resource leveling is a resource optimization technique in which start and finish dates are adjusted based on resource constraints with the goal of balancing the demand for resources with the available supply. The available float is used for leveling resources properly. According to the scenario, the float is already negative. Therefore, leveling resources will only","Crashing the scheduleCorrect. Crashing is a schedule compression technique that is used to shorten the schedule duration for the least incremental cost by adding resources. Therefore, by crashing, i.e., shortening the project's duration to comply with the imposed date, the project has a better chance to be completed on time.","Consulting the issue logIncorrect. The issue log is a project document where information about the issues encountered during the project is recorded and monitored. The issue with the imposed date has just been encountered. Therefore, the issue log would not have the issue captured. Even if the issue were documented, consulting the issue log would not help you resolve the situation described.","Terminating the projectIncorrect. When a project schedule becomes no longer feasible, project termination may be considered. However, terminating the project without attempting to resolve the issue is unlikely to be the best course of action. Options to salvage the project, such as crashing the schedule, should be considered before the decision to terminate the project is made."
188,"You are managing a virtual project team across multiple time zones. As the project progresses, the team members learn to trust one another and adjust their work routines to accommodate the different time zones, work habits, and culture. What stage of team development is being demonstrated in this situation?",Forming,Storming,Performing,Norming,D,What stage of team development is characterized by team members learning to trust each other?,"The question describes the Tuckman ladder of team development, which includes forming, storming, norming, performing, and adjourning as the stages of development. The norming stage of team development is characterized by team members adjusting their work habits and behaviors to support the team, and they learn to trust each other. The question states that the team is adjusting their work habits by making accommodations for team members in different time zones, and they are learning to trust each",Forming--- Incorrect. The forming stage of team development is where team members meet and learn about the project and their formal roles and responsibilities. The question describes a team that is already working together and therefore has moved past the forming stage.,"StormingIncorrect. During the storming phase of team development, the team begins to address the project work, technical decisions, and the project management approach. Of the available choices, this is not the best description of the development stage outlined in the question.","PerformingIncorrect. Teams that reach the performing stage of team development function as a well- organized unit and work through issues smoothly and effectively. There is not enough information in the question to conclude that the team is already well-organized and works through issues smoothly and effectively. Another answer choice, norming, more accurately describes the current stage of the te","NormingCorrect. The norming stage of team development is characterized by team members adjusting their work habits and behaviors to support the team, and they learn to trust each other."
189,"During the development of the project management plan and before establishing baselines, the project manager is asked by a key stakeholder to add a critical feature that will slightly extend the project schedule and cost. What should the project manager do?",Ask the stakeholder to submit a change request to change control board,Submit a change request on behalf of the stakeholder and ask them to sign it,Reject the stakeholder's request,Update the project management plan as requested by the stakeholder,D,The project is in its planning and the baselines have not been established.,"The project management plan is baselined and approved before the project enters its execution. Baselines (scope, cost, schedule) are part of the project management plan. As long as the baselines are not established, as in this situation, the project management plan can be modified as many times as necessary. No change request is needed in this situation. Therefore, among the choices provided, updating the project management plan as requested by the stakeholder is the best answer to the question ","Ask the stakeholder to submit a change request to change control boardIncorrect. The project management plan is being developed, and the baselines (scope, cost, schedule) have not been finalized nor has the project management plan been approved. Before baselining and the approval of the project management plan, no change request is required to change the plan.","Submit a change request on behalf of the stakeholder and ask them to sign it--- Incorrect. The project management plan is being developed, and the baselines (scope, cost, schedule) have not been finalized nor has the project management plan been approved. Before baselining and the approval of the project management plan, no change request is required to change the plan.","Reject the stakeholder's requestIncorrect. While it is the project managers job to monitor and control changes in project scope, there is no indication where in the planning process the project is and more importantly before the baselining and the approval of the project management plan, requests of this type are typical and should be expected.","Update the project management plan as requested by the stakeholderCorrect. The scenario describes a project in planning where neither the project management plan nor the baselines (which are the components of the plan) have been approved. Before the approval of the project management plan, no change request is required to change the plan as many times as needed. Therefore, the project manager can "
190,"A_project manager has compiled a list of key deliverables, which include the working software, employee training materials, user manuals, etc. When is the first time that these key deliverables would have been identified?",During the Define Scope process,When processes of the Executing Process Group are performed,During the Develop Project Charter process,When processes of the Planning Process Group are performed,C,Key deliverables are identified very early in the project life cycle.,"The key deliverables are identified during the Develop Project Charter process as part of the pre- project work. The identified key deliverables are then included in the project charter as one of its elements. Of the available choices, the Develop Project Charter process occurs earliest in the project life cycle, and it is when key deliverables are first identified.","During the Define Scope processIncorrect. The Define Scope process results in the project scope statement which lists major project deliverables. Major project deliverables are derived from the key deliverables. However, the key deliverables are identified earlier in the project life cycle, during project initiation, and are listed in the project charter which is an input to the Define Scope proce","When processes of the Executing Process Group are performedIncorrect. Deliverables are produced during the Executing Process Group. Deliverables must be identified before they can be produced. Therefore, this answer choice can be eliminated.","During the Develop Project Charter process--- Correct. The key deliverables are identified during the Develop Project Charter process and included as an element in the project charter. Of the available choices, the Develop Project Charter process is when key deliverables are first identified.",When processes of the Planning Process Group are performedIncorrect. The key deliverables are listed in the project charter. The Develop Project Charter process is part of the Initiating Process Group which is completed before the Planning Process Group begins.
